news_headline,news_article,news_category
Sri Lanka seeks ₹130cr from ship owners over last year's oil spill,Sri Lanka has sought nearly ₹130 crore from the Greek owners of a tanker over an oil spill that was caused due to a fire on board in September last year. Officials said 400 to 480 tonnes of fuel had leaked from the ship. The ship was transporting 2.7 lakh tonnes of crude oil at the time of the incident.,world
US woman who coughed on cancer patient gets 30 days in jail,"A US woman who deliberately coughed on a cancer patient in a store amid the coronavirus pandemic last year was sentenced to 30 days in jail. The video of the incident had gone viral. Debra Hunter was also ordered to pay a fine of over ₹37,000, serve six months probation and participate in mental health evaluation along with anger management.",world
Thousands evacuated as volcano erupts on Caribbean's St Vincent,"La Soufriere volcano on the Caribbean island of St Vincent ""explosively"" erupted on Friday as evacuations from the nearby areas were still underway. The eruption sent dark ash plumes of up to 8 kilometres billowing into the sky, authorities said. The volcano last erupted in 1979 and a previous eruption in 1902 killed some 1,600 people.",world
4 dead as central forces open fire after coming under attack during WB polling,"Four people have been killed after Central Armed Police Forces (CAPF) personnel allegedly opened fire after they came under attack during polling in West Bengal's Cooch Behar. Four others received injuries in the incident. Earlier, a first-time voter was shot dead by unidentified persons outside a polling booth in Cooch Behar's Sitalkuchi.",politics
Mamata blames CRPF for Cooch Behar shooting; CRPF denies involvement,"Bengal CM Mamata Banerjee has accused CRPF of killing four persons who were shot dead in the Sitalkuchi constituency in Cooch Behar district. CRPF denied the allegations and said, ""CRPF component was neither deployed at the said booth nor involved in the incident in any way."" EC earlier issued notice to Mamata over remarks on central forces on poll duty.",politics
EC removes Mamata Banerjee's security officer ahead of 4th phase of polls,"The Election Commission of India has removed Bengal Chief Minister Mamata Banerjee's security officer Ashok Chakraborty, ahead of the fourth phase of the West Bengal Assembly Elections scheduled for Saturday. The government said in a notification that Chakraborty is to be removed from his post with ""immediate effect"" in accordance with the Election Commission's directions.",politics
Election Commission directs re-polling at 4 polling stations in Assam on April 20,"The Election Commission of India has announced that re-polling will be conducted at four polling stations in Ratabari, Sonai and Haflong Assembly constituencies in Assam on April 20. The commission declared void, the votes cast at these stations on April 1. The polled EVM of Ratabari's Indira MV School was found being transported in personal vehicle of a BJP candidate.",politics
"First-time voter shot dead, bombs hurled outside polling booth in West Bengal","A first-time voter was shot dead by unidentified persons outside a polling booth in West Bengal's Cooch Behar on Saturday, police said. While, TMC alleged that BJP was behind the killing, BJP claimed deceased was its polling agent and blamed TMC. The incident triggered a clash between TMC and BJP supporters and bombs were hurled outside the booth, police added.",politics
Election Commission adjourns voting in WB polling station after 4 killed,"The Election Commission on Saturday adjourned voting in PS 125 in Cooch Behar's Sitalkuchi after a clash between political workers and subsequent firing allegedly by central forces led to the death of four people. The Commission has sought detailed reports from Observers and CEO by 5 pm, ANI reported. Central forces allegedly fired after coming under attack.",politics
Fewer cases of love jihad here as it is land of gods: U'khand CM ,"Uttarakhand Chief Minister Tirath Singh Rawat on Friday said their state has ""fewer cases of love jihad as the state is 'devbhumi' (land of gods)"" and has the blessings of saints. Rawat added that ""he is concerned about the issue and will take some steps into this."" Rawat was speaking at a meeting with VHP leaders and saints in Haridwar. ",politics
Urge EC to take strict action: PM after 5 killed during Bengal polling,"Prime Minister Narendra Modi has urged the Election Commission to take strict action against the accused after five people were shot dead in separate incidents during polling in West Bengal's Cooch Behar. ""My sympathies are with the families of those who died. I condole their demise...Didi [Mamata Banerjee] and her goons are perturbed, seeing...people's support for BJP,"" the PM added.",politics
UP poll candidates stick posters on stray dogs for campaigning; pic surfaces,"At least two candidates for Panchayat polls in Uttar Pradesh have allegedly pasted their posters on stray dogs for campaigning. A picture of a dog with a poster stuck on it has also surfaced on social media. Several animal rights activists have criticised the move, with one of them demanding police action against candidates resorting to this method of electioneering.",politics
Won't hesitate to ban rallies: EC warns parties for not following COVID-19 rules,"The Election Commission (EC) has issued a warning to political parties over their ""laxity"" in following COVID-19 guidelines during campaign rallies. EC said it won't hesitate to ban political parties from holding rallies in case the situation does not improve. It further said that ""norms of social distancing and wearing of masks have been flouted"" during rallies.",politics
Will speak about CRPF till it stops working for BJP: Mamata,"West Bengal CM Mamata Banerjee said that she will continue speaking about CRPF till it stops working for BJP. ""Will salute the force, once it does. I don't care anything about your (Election Commission) show-cause notices,"" she added. This comes after EC sent her a notice asking to explain her statement wherein Mamata allegedly asked people to ""gherao"" CRPF personnel.",politics
"BJP leader shares chat, says TMC poll strategist admits BJP is winning","BJP leader Amit Malviya on Saturday shared a chat wherein he said that Mamata Banerjee's poll strategist, Prashant Kishor, conceded in a public chat on Clubhouse that even TMC survey shows that BJP is winning the West Bengal Assembly polls. ""There is anti-incumbency against TMC, polarisation is a reality...says Mamata's strategist in an open chat,"" he added.",politics
Voting begins for phase 4 of Assembly elections in West Bengal,"Voting for the fourth phase of elections in West Bengal is underway in 44 constituencies spread over Howrah (Part II), South 24 Parganas (Part III), Hooghly (Part II) districts in south Bengal and in north Bengal's Alipurduar and Cooch Behar districts. Union Minister Babul Supriyo and West Bengal ministers Partha Chatterjee and Arup Biswas are among the candidates contesting today.",politics
"BJP to give 5,000 Remdesivir jabs for free to needy in Guj's Surat","BJP Gujarat President CR Paatil announced on Friday that the party will be providing 5,000 Remdesivir injections free of cost to patients who can't afford them in Surat. The injections will be provided daily from the Surat BJP office. Majura (Surat) MLA Harsh Sanghavi thanked Paatil and said that the distribution of 1,000 jabs will start on Saturday.",politics
Govt mismanaged COVID-19 by exporting vaccine: Sonia at Cong meet,"Congress interim chief Sonia Gandhi on Saturday held a virtual meeting with CMs of Congress-ruled states to review the COVID-19 situation. During the meeting, she slammed the Centre for its vaccine management and claimed, ""The Modi government has mismanaged the situation...exported vaccine and allowed a shortage...in India."" Gandhi said the priority should be to ""test, track and vaccinate"".",politics
Selective parts of my conversation used: Kishor on leaked audio,"Poll strategist Prashant Kishor reacted to his apparently leaked Clubhouse chat, saying that BJP should ""share the full chat instead of getting excited with selective use of parts"". BJP leader Amit Malviya shared the audio saying that Kishor had conceded that even TMC survey showed BJP winning in West Bengal Assembly polls. ""BJP won't...cross 100 in West Bengal,"" Kishor reiterated.",politics
Rahul Gandhi condoles Prince Philip's demise,"Congress leader Rahul Gandhi on Friday condoled the demise of the UK's Prince Philip, who passed away at the age of 99. ""Heartfelt condolences to Her Majesty The Queen, her family and the people of Britain on the passing of His Royal Highness The Prince Philip, Duke of Edinburgh,"" said Rahul on Twitter.",politics
PM criticises TMC leader over remark on Scheduled Caste voters,"PM Narendra Modi has reacted to a video clip of TMC candidate Sujata Mondal in which she is heard saying ""Scheduled Caste voters are beggars by nature"". Modi said, ""The thinking of Didi and TMC leaders is coming out in the open. A video is going viral where a leader close to Didi can be seen insulting the SC community.""",politics
Home Minister Amit Shah should resign: Mamata on Cooch Behar firing ,"West Bengal CM Mamata Banerjee has sought Home Minister Amit Shah's resignation after CISF personnel allegedly opened fire, killing four people in West Bengal's Cooch Behar district on Saturday. Reports said that locals ""attempted to snatch their rifles"" outside a polling booth. ""We have sought a report from the micro-observer as soon as possible,"" an election official reportedly said.",politics
"Govt policies led to 2nd wave, it's allergic to good suggestions: Rahul","Congress leader Rahul Gandhi on Saturday hit out at central government saying that its ""failed policies"" had led to the ""terrible second wave of coronavirus in the country and forced migrants to flee again"". ""But, the egoistic government is allergic to good suggestions!"" he added. It's ""necessary to put money in migrants' hands"" along with increasing vaccinations, he further said.",politics
